date,timestamp,hour,doy,DNI,DHI,delta,alpha,b,eot,tc,lst,noon,hra,beam,diffuse,power
02/02/1982,1982-02-02 15:00:00,15,33,18,186,-0.300991265588206,0.562946714148987,-0.826281903409918,-13.8363371873892,-34.7683371873893,1982-02-02 14:25:13,1982-02-02 12:00:00,0.633692673557519,13.8531259731277,144.15,0.000158003125973128
02/02/1982,1982-02-02 16:00:00,16,33,5,152,-0.300991265588206,0.562946714148987,-0.826281903409918,-13.8363371873892,-34.7683371873893,1982-02-02 15:25:13,1982-02-02 12:00:00,0.895492061356668,2.98515346951641,117.8,0.000120785153469516
02/02/1982,1982-02-02 17:00:00,17,33,0,80,-0.300991265588206,0.562946714148987,-0.826281903409918,-13.8363371873892,-34.7683371873893,1982-02-02 16:25:13,1982-02-02 12:00:00,1.15729144915582,0,62,6.2e-05
02/02/1982,1982-02-02 18:00:00,18,33,1,18,-0.300991265588206,0.562946714148987,-0.826281903409918,-13.8363371873892,-34.7683371873893,1982-02-02 17:25:13,1982-02-02 12:00:00,1.41909083695497,0.144330172501875,13.95,1.40943301725019e-05
02/02/1982,1982-02-02 19:00:00,19,33,0,0,-0.300991265588206,0.562946714148987,-0.826281903409918,-13.8363371873892,-34.7683371873893,1982-02-02 18:25:13,1982-02-02 12:00:00,1.68089022475412,0,0,0
02/02/1982,1982-02-02 20:00:00,20,33,0,0,-0.300991265588206,0.562946714148987,-0.826281903409918,-13.8363371873892,-34.7683371873893,1982-02-02 19:25:13,1982-02-02 12:00:00,1.94268961255327,0,0,0
02/02/1982,1982-02-02 21:00:00,21,33,0,0,-0.300991265588206,0.562946714148987,-0.826281903409918,-13.8363371873892,-34.7683371873893,1982-02-02 20:25:13,1982-02-02 12:00:00,2.20448900035242,0,0,0
02/02/1982,1982-02-02 22:00:00,22,33,0,0,-0.300991265588206,0.562946714148987,-0.826281903409918,-13.8363371873892,-34.7683371873893,1982-02-02 21:25:13,1982-02-02 12:00:00,2.46628838815156,0,0,0
02/02/1982,1982-02-02 23:00:00,23,33,0,0,-0.300991265588206,0.562946714148987,-0.826281903409918,-13.8363371873892,-34.7683371873893,1982-02-02 22:25:13,1982-02-02 12:00:00,2.72808777595071,0,0,0
02/02/1982,1982-02-03 00:00:00,0,34,0,0,-0.296172821842218,0.567765157894975,-0.809067697088878,-13.97048234885,-34.90248234885,1982-02-02 23:25:05,1982-02-02 12:00:00,2.98930184506387,0,0,0
02/03/1982,1982-02-03 01:00:00,1,34,0,0,-0.296172821842218,0.567765157894975,-0.809067697088878,-13.97048234885,-34.90248234885,1982-02-03 00:25:05,1982-02-03 12:00:00,-3.03208407431656,0,0,0
02/03/1982,1982-02-03 02:00:00,2,34,0,0,-0.296172821842218,0.567765157894975,-0.809067697088878,-13.97048234885,-34.90248234885,1982-02-03 01:25:05,1982-02-03 12:00:00,-2.77028468651741,0,0,0
02/03/1982,1982-02-03 03:00:00,3,34,0,0,-0.296172821842218,0.567765157894975,-0.809067697088878,-13.97048234885,-34.90248234885,1982-02-03 02:25:05,1982-02-03 12:00:00,-2.50848529871826,0,0,0
02/03/1982,1982-02-03 04:00:00,4,34,0,0,-0.296172821842218,0.567765157894975,-0.809067697088878,-13.97048234885,-34.90248234885,1982-02-03 03:25:05,1982-02-03 12:00:00,-2.24668591091911,0,0,0
02/03/1982,1982-02-03 05:00:00,5,34,0,0,-0.296172821842218,0.567765157894975,-0.809067697088878,-13.97048234885,-34.90248234885,1982-02-03 04:25:05,1982-02-03 12:00:00,-1.98488652311997,0,0,0
02/03/1982,1982-02-03 06:00:00,6,34,0,0,-0.296172821842218,0.567765157894975,-0.809067697088878,-13.97048234885,-34.90248234885,1982-02-03 05:25:05,1982-02-03 12:00:00,-1.72308713532082,0,0,0
02/03/1982,1982-02-03 07:00:00,7,34,0,0,-0.296172821842218,0.567765157894975,-0.809067697088878,-13.97048234885,-34.90248234885,1982-02-03 06:25:05,1982-02-03 12:00:00,-1.46128774752167,0,0,0
02/03/1982,1982-02-03 08:00:00,8,34,0,9,-0.296172821842218,0.567765157894975,-0.809067697088878,-13.97048234885,-34.90248234885,1982-02-03 07:25:05,1982-02-03 12:00:00,-1.19948835972252,0,6.975,6.975e-06
02/03/1982,1982-02-03 09:00:00,9,34,0,50,-0.296172821842218,0.567765157894975,-0.809067697088878,-13.97048234885,-34.90248234885,1982-02-03 08:25:05,1982-02-03 12:00:00,-0.937688971923368,0,38.75,3.875e-05
02/03/1982,1982-02-03 10:00:00,10,34,2,119,-0.296172821842218,0.567765157894975,-0.809067697088878,-13.97048234885,-34.90248234885,1982-02-03 09:25:05,1982-02-03 12:00:00,-0.675889584124218,1.49236673788605,92.225,9.3717366737886e-05
02/03/1982,1982-02-03 11:00:00,11,34,0,132,-0.296172821842218,0.567765157894975,-0.809067697088878,-13.97048234885,-34.90248234885,1982-02-03 10:25:05,1982-02-03 12:00:00,-0.414090196325069,0,102.3,0.0001023
02/03/1982,1982-02-03 12:00:00,12,34,1,143,-0.296172821842218,0.567765157894975,-0.809067697088878,-13.97048234885,-34.90248234885,1982-02-03 11:25:05,1982-02-03 12:00:00,-0.15229080852592,0.945390567633922,110.825,0.000111770390567634
02/03/1982,1982-02-03 13:00:00,13,34,1,153,-0.296172821842218,0.567765157894975,-0.809067697088878,-13.97048234885,-34.90248234885,1982-02-03 12:25:05,1982-02-03 12:00:00,0.10950857927323,0.95073122844506,118.575,0.000119525731228445
02/03/1982,1982-02-03 14:00:00,14,34,1,140,-0.296172821842218,0.567765157894975,-0.809067697088878,-13.97048234885,-34.90248234885,1982-02-03 13:25:05,1982-02-03 12:00:00,0.371307967072379,0.891281127195309,108.5,0.000109391281127195
02/03/1982,1982-02-03 15:00:00,15,34,1,122,-0.296172821842218,0.567765157894975,-0.809067697088878,-13.97048234885,-34.90248234885,1982-02-03 14:25:05,1982-02-03 12:00:00,0.633107354871529,0.771091690038902,94.55,9.53210916900389e-05
02/03/1982,1982-02-03 16:00:00,16,34,1,92,-0.296172821842218,0.567765157894975,-0.809067697088878,-13.97048234885,-34.90248234885,1982-02-03 15:25:05,1982-02-03 12:00:00,0.894906742670678,0.598353628495612,71.3,7.18983536284956e-05
02/03/1982,1982-02-03 17:00:00,17,34,0,40,-0.296172821842218,0.567765157894975,-0.809067697088878,-13.97048234885,-34.90248234885,1982-02-03 16:25:05,1982-02-03 12:00:00,1.15670613046983,0,31,3.1e-05
02/03/1982,1982-02-03 18:00:00,18,34,0,11,-0.296172821842218,0.567765157894975,-0.809067697088878,-13.97048234885,-34.90248234885,1982-02-03 17:25:05,1982-02-03 12:00:00,1.41850551826898,0,8.525,8.525e-06
02/03/1982,1982-02-03 19:00:00,19,34,0,0,-0.296172821842218,0.567765157894975,-0.809067697088878,-13.97048234885,-34.90248234885,1982-02-03 18:25:05,1982-02-03 12:00:00,1.68030490606813,0,0,0
02/03/1982,1982-02-03 20:00:00,20,34,0,0,-0.296172821842218,0.567765157894975,-0.809067697088878,-13.97048234885,-34.90248234885,1982-02-03 19:25:05,1982-02-03 12:00:00,1.94210429386728,0,0,0
02/03/1982,1982-02-03 21:00:00,21,34,0,0,-0.296172821842218,0.567765157894975,-0.809067697088878,-13.97048234885,-34.90248234885,1982-02-03 20:25:05,1982-02-03 12:00:00,2.20390368166643,0,0,0
02/03/1982,1982-02-03 22:00:00,22,34,0,0,-0.296172821842218,0.567765157894975,-0.809067697088878,-13.97048234885,-34.90248234885,1982-02-03 21:25:05,1982-02-03 12:00:00,2.46570306946558,0,0,0
02/03/1982,1982-02-03 23:00:00,23,34,0,0,-0.296172821842218,0.567765157894975,-0.809067697088878,-13.97048234885,-34.90248234885,1982-02-03 22:25:05,1982-02-03 12:00:00,2.72750245726472,0,0,0
02/03/1982,1982-02-04 00:00:00,0,35,0,0,-0.291266615697186,0.572671364040008,-0.791853490767838,-14.0917243679934,-35.0237243679934,1982-02-03 23:24:58,1982-02-03 12:00:00,2.98877282695571,0,0,0
02/04/1982,1982-02-04 01:00:00,1,35,0,0,-0.291266615697186,0.572671364040008,-0.791853490767838,-14.0917243679934,-35.0237243679934,1982-02-04 00:24:58,1982-02-04 12:00:00,-3.03261309242472,0,0,0
02/04/1982,1982-02-04 02:00:00,2,35,0,0,-0.291266615697186,0.572671364040008,-0.791853490767838,-14.0917243679934,-35.0237243679934,1982-02-04 01:24:58,1982-02-04 12:00:00,-2.77081370462557,0,0,0
