Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 02/24  22:00:00,2.25116435573,5.05308668411,0.0,5.00789034446,0.0,0.123618923103,0.123618923103,0.123618923103,0.574775370734,0.123821877033,0.258240654531,0.656167769509,0.497895760825
 02/24  23:00:00,1.83577167278,5.51355815864,0.0,5.47444651877,0.0,0.13505641432,0.13505641432,0.13505641432,0.428264026716,0.0922594475479,0.205783602099,0.567829113952,0.389935068143
 02/24  24:00:00,1.42793985638,5.94626426286,0.0,5.91227697557,0.0,0.145813636567,0.145813636567,0.145813636567,0.298657810201,0.0643388309091,0.135829802162,0.493432934242,0.2732228423
 02/25  01:00:00,1.02116110889,6.46179035082,0.0,6.43367768736,0.0,0.158395751952,0.158395751952,0.158395751952,0.152146386518,0.0327763842622,0.0928550823819,0.408144195277,0.160199308498
 02/25  02:00:00,0.842039549788,6.73495091642,0.0,6.70906655856,0.0,0.165151585864,0.165151585864,0.165151585864,0.090160839344,0.0194230361695,0.0760998372053,0.37579329429,0.0987669569146
 02/25  03:00:00,0.779959490416,7.04101464815,0.0,7.01543039878,0.0,0.1723773798,0.1723773798,0.1723773798,0.0619855790406,0.0133533395118,0.0622424290361,0.371436270588,0.081920492439
 02/25  04:00:00,0.776161713884,7.24649881882,0.0,7.22127469964,0.0,0.177437707114,0.177437707114,0.177437707114,0.0619855790406,0.0133533395118,0.0538948626218,0.366207842146,0.0866383834499
 02/25  05:00:00,0.829138104396,7.47370033186,0.0,7.44942905716,0.0,0.182819012724,0.182819012724,0.182819012724,0.0619855790406,0.0133533395118,0.0657425557055,0.352374291893,0.136219325522
 02/25  06:00:00,1.10528020425,7.50299608969,0.0,7.47591129784,0.0,0.18321681197,0.18321681197,0.18321681197,0.0676206374745,0.0145672805595,0.0799978719753,0.393221389098,0.350012213172
 02/25  07:00:00,1.6985028062,7.32706984994,0.0,7.29577603642,0.0,0.178605999885,0.178605999885,0.178605999885,0.129606216515,0.0279206166389,0.14030009709,0.454328646517,0.751097229552
 02/25  08:00:00,2.09326232535,7.00094681648,0.0,6.96769479502,0.0,0.170003519284,0.170003519284,0.170003519284,0.25921243303,0.0558412332777,0.228479448591,0.482758226172,0.865323464998
 02/25  09:00:00,2.0024405869,6.32650993346,0.0,6.29839727,0.0,0.153600416777,0.153600416777,0.153600416777,0.231037140861,0.049771545201,0.301038229845,0.408144195277,0.842205058942
 02/25  10:00:00,1.76179496849,5.36866885939,0.0,5.34474270946,0.0,0.130374420483,0.130374420483,0.130374420483,0.112701089013,0.0242788037928,0.37497357455,0.347363714635,0.755459366012
 02/25  11:00:00,1.67961299784,6.16528401029,0.0,6.14079515693,0.0,0.152282327504,0.152282327504,0.152282327504,0.090160839344,0.0194230361695,0.395705006816,0.355533134076,0.649864653928
 02/25  12:00:00,1.56577095696,4.72964594718,0.0,4.70514959111,0.0,0.116268912285,0.116268912285,0.116268912285,0.090160839344,0.0194230361695,0.413520643025,0.355642059669,0.554111466472
 02/25  13:00:00,1.4641955568,4.37358438005,0.0,4.34950067317,0.0,0.107970496454,0.107970496454,0.107970496454,0.090160839344,0.0194230361695,0.39956426318,0.349651152079,0.480781769574
 02/25  14:00:00,1.38653836462,4.11353158931,0.0,4.08861508134,0.0,0.101801978697,0.101801978697,0.101801978697,0.090160839344,0.0194230361695,0.361343598785,0.361741892852,0.435423018774
 02/25  15:00:00,1.34000127386,4.05370761144,0.0,4.02738809625,0.0,0.100610092831,0.100610092831,0.100610092831,0.0957958818448,0.0206369737848,0.331676763602,0.382110978658,0.392526583138
 02/25  16:00:00,1.40427178015,4.41750566761,0.0,4.3897231235,0.0,0.110093671698,0.110093671698,0.110093671698,0.112701089013,0.0242788037928,0.339830371887,0.403351469205,0.397372374553
 02/25  17:00:00,1.66345342813,4.64319474258,0.0,4.61033286216,0.0,0.115298187314,0.115298187314,0.115298187314,0.174686636187,0.0376321347236,0.389541408607,0.47709409536,0.452556965936
 02/25  18:00:00,2.20194081912,6.10397691438,0.0,6.06405498157,0.0,0.151983048505,0.151983048505,0.151983048505,0.338103187372,0.0728363942165,0.48031520192,0.579593077948,0.562465909159
