Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 10/09  15:00:00,2.01883205506,0.477196943665,0.0,0.0,0.982689685155,0.291651976928,1.27434166208,0.291651976928,0.0868166148324,0.0178069352286,0.307123779051,0.317668063866,0.455314431219
 10/09  16:00:00,2.11959721344,0.520272390063,0.0,0.0,0.945421308754,0.294883893254,1.24030520201,0.294883893254,0.108520702043,0.0222586690357,0.357691996357,0.375745644,0.49438921304
 10/09  17:00:00,2.37776428652,0.610975138087,0.0,0.0,0.939025606192,0.304082598006,1.2431082042,0.304082598006,0.177974007208,0.0365042199465,0.448631948385,0.456470906786,0.579531214585
 10/09  18:00:00,2.44460905013,0.693684072699,0.0,0.0,0.832911236878,0.276136111584,1.10904734846,0.276136111584,0.325562172626,0.0667760071072,0.402558890565,0.495589631367,0.659545462275
 10/09  19:00:00,2.36489931346,0.708955094582,0.0,0.0,0.667136084615,0.233503949591,0.900640034206,0.233503949591,0.512217801418,0.105060912393,0.320359612211,0.511545953236,0.673717335545
 10/09  20:00:00,2.07648269601,0.662809407152,0.0,0.0,0.418511008759,0.152598921903,0.571109930663,0.152598921903,0.564307796917,0.115745078986,0.281112667479,0.529132221962,0.626360220879
 10/09  21:00:00,2.00887779274,0.604685900652,0.0,0.0,0.476331745498,0.166848985319,0.643180730817,0.166848985319,0.473150404541,0.0970478079074,0.263644908961,0.516778940515,0.569087668144
 10/09  22:00:00,1.67227993451,0.511648368947,0.0,0.0,0.423100669894,0.14685513568,0.569955805573,0.14685513568,0.355948014416,0.073008439893,0.211086728929,0.447205945701,0.48084266077
 10/09  23:00:00,1.28818764499,0.412683601262,0.0,0.0,0.328901924909,0.116565469705,0.445467394614,0.116565469705,0.247427245876,0.0507497708572,0.140854588134,0.388613645507,0.385914014068
 10/09  24:00:00,0.706419097595,0.30589012519,0.0,0.0,0.0930364542226,0.0339768326142,0.127013286837,0.0339768326142,0.12588401171,0.0258200533536,0.0911840680538,0.321442677641,0.283747599093
 10/10  01:00:00,0.702014677338,0.257484007267,0.0,0.0,0.160676160792,0.0591913525166,0.219867513309,0.0591913525166,0.07813492675,0.01602623625,0.0769469663719,0.295964034658,0.237096573311
 10/10  02:00:00,0.649210938618,0.244962227341,0.0,0.0,0.157477006104,0.056976943499,0.214453949603,0.056976943499,0.0520899489501,0.0106841611372,0.0643753113384,0.292532567589,0.224811169431
 10/10  03:00:00,0.621189564399,0.248255764923,0.0,0.0,0.145571546586,0.0522231057688,0.197794652354,0.0522231057688,0.0520899489501,0.0106841611372,0.0571309948506,0.288414807107,0.228388358268
 10/10  04:00:00,0.58499764826,0.284255133554,0.0,0.0,0.118426368597,0.0436584781754,0.162084846772,0.0436584781754,0.0520899489501,0.0106841611372,0.067543792236,0.277519899164,0.265138220844
 10/10  05:00:00,0.623712635046,0.450004620178,0.0,0.0,0.109551091342,0.041074841206,0.150625932548,0.041074841206,0.0564307796917,0.0115745078986,0.0803165119766,0.309689902932,0.428671682038
 10/10  06:00:00,0.780214305796,0.757705069567,0.0,0.0,0.0960348016718,0.03600614628,0.132040947952,0.03600614628,0.117202390125,0.0240393680143,0.134040371138,0.357816228567,0.733056957384
 10/10  07:00:00,1.07945177712,0.83959813083,0.0,0.0,0.111668424893,0.0431379147434,0.154806339636,0.0431379147434,0.238745624291,0.0489690718787,0.211649190125,0.380206551189,0.813407664948
 10/10  08:00:00,1.02144412534,0.81108677986,0.0,0.0,0.112918124788,0.0426984812256,0.155616606013,0.0426984812256,0.212700626542,0.0436269885822,0.272982226561,0.321442677641,0.788944253763
 10/10  09:00:00,0.969406405768,0.738741975096,0.0,0.0,0.163004656012,0.0578434866109,0.220848142623,0.0578434866109,0.104179924499,0.0213683195464,0.334361307064,0.273573712036,0.719896894839
 10/10  10:00:00,1.14281530778,0.659328390633,0.0,0.0,0.297953565975,0.101266791506,0.399220357481,0.101266791506,0.0824757707912,0.0169165857393,0.34911988098,0.280007712789,0.64004010529
 10/10  11:00:00,1.30360897951,0.589262392614,0.0,0.0,0.409524561365,0.134274855925,0.54379941729,0.134274855925,0.0824757707912,0.0169165857393,0.365248706228,0.280093499466,0.56996819787
 10/10  12:00:00,1.49694578843,0.534304826332,0.0,0.0,0.570738300179,0.18025876237,0.750997062549,0.18025876237,0.0824757707912,0.0169165857393,0.356106137108,0.275375232247,0.515335648651
 10/10  13:00:00,1.75375115884,0.503657875468,0.0,0.0,0.791136920921,0.240969879818,1.03210680074,0.240969879818,0.0824757707912,0.0169165857393,0.322279448206,0.284897553362,0.48403275426
 10/10  14:00:00,1.99586994018,0.472775148123,0.0,0.0,0.986949737704,0.296474503881,1.28342424159,0.296474503881,0.0824757707912,0.0169165857393,0.297038680158,0.300939661907,0.452044968901
